2019-05-16 08:58:59	 | ::1	 | Heiner	 | class-limited SQL: select e.env_id, e.app_id , app_name, e.env_class, e.env_name  from environment e LEFT JOIN application as a ON e.app_id=a.app_id WHERE 1=1  order by app_name, e.env_name  limit 0 , 30	 | /Gold/environments.php
2019-05-16 08:58:59	 | ::1	 | Heiner	 | MySQL result set column count: 5	 | /Gold/environments.php
2019-05-16 08:58:59	 | ::1	 | Heiner	 | pagination.php: function: showPagination	 | /Gold/environments.php
2019-05-16 08:58:59	 | ::1	 | Heiner	 | function: cls_dataSource:pagination	 | /Gold/environments.php
2019-05-16 08:58:59	 | ::1	 | Heiner	 | pagination.php: function: showPagination	 | /Gold/environments.php
2019-05-16 08:59:00	 | ::1	 | Heiner	 | Creating default data source	 | /Gold/databases.php
2019-05-16 08:59:00	 | ::1	 | Heiner	 | Constructing dataSource class	 | /Gold/databases.php
2019-05-16 08:59:00	 | ::1	 | Heiner	 | Connecting to mysql	 | /Gold/databases.php
2019-05-16 08:59:02	 | ::1	 | Heiner	 | pagination.php: function: paginate	 | /Gold/databases.php
2019-05-16 08:59:02	 | ::1	 | Heiner	 | Page num: 1	 | /Gold/databases.php
2019-05-16 08:59:02	 | ::1	 | Heiner	 | class-limited SQL: select hostname, domain, os, servicename, server_brand, env_name, app_id, app_name, env_id, env_id as 'dummy1', env_id as 'dummy2',  env_id as 'dummy3', port, oraclenet_fqdn, svc_cluster from database_directory where 1=1  order by lower(servicename)  limit 0 , 30	 | /Gold/databases.php
2019-05-16 08:59:02	 | ::1	 | Heiner	 | MySQL result set column count: 15	 | /Gold/databases.php
2019-05-16 08:59:02	 | ::1	 | Heiner	 | pagination.php: function: showPagination	 | /Gold/databases.php
2019-05-16 08:59:02	 | ::1	 | Heiner	 | function: cls_dataSource:pagination	 | /Gold/databases.php
2019-05-16 08:59:02	 | ::1	 | Heiner	 | pagination.php: function: showPagination	 | /Gold/databases.php
2019-05-16 08:59:05	 | ::1	 | Heiner	 | Creating default data source	 | /Gold/hosts.php
2019-05-16 08:59:05	 | ::1	 | Heiner	 | Constructing dataSource class	 | /Gold/hosts.php
2019-05-16 08:59:05	 | ::1	 | Heiner	 | Connecting to mysql	 | /Gold/hosts.php
2019-05-16 08:59:06	 | ::1	 | Heiner	 | hosts.php: calling 'paginate'	 | /Gold/hosts.php
2019-05-16 08:59:06	 | ::1	 | Heiner	 | pagination.php: function: paginate	 | /Gold/hosts.php
2019-05-16 08:59:06	 | ::1	 | Heiner	 | hosts.php: setMaxRecs	 | /Gold/hosts.php
2019-05-16 08:59:06	 | ::1	 | Heiner	 | hosts.php: setSQL	 | /Gold/hosts.php
2019-05-16 08:59:06	 | ::1	 | Heiner	 | Page num: 1	 | /Gold/hosts.php
2019-05-16 08:59:06	 | ::1	 | Heiner	 | class-limited SQL: select hostname, domain, os , servicename, service_type , env_name, app_id, app_name, env_id, env_id as 'dummy1', env_id as 'dummy2',   env_id as 'dummy3'   from server_directory where 1=1  order by hostname  limit 0 , 30	 | /Gold/hosts.php
2019-05-16 08:59:06	 | ::1	 | Heiner	 | MySQL result set column count: 12	 | /Gold/hosts.php
2019-05-16 08:59:06	 | ::1	 | Heiner	 | hosts.php: calling 'showPagination'	 | /Gold/hosts.php
